Step	Energy	Energy_Change
0	5495.828797	-
100	4825.432136	-
200	9860.406843	5034.974707
300	41021.086805	31160.679962
400	28745.281886	12275.804919
500	17816.082187	10929.199699
600	33792.291838	15976.209651
700	27671.545879	-
800	26245.921074	1425.624805
900	22374.399824	3871.521249
1000	22017.938026	356.461799
1100	26655.776801	4637.838775
1200	15783.402768	10872.374032
1300	10379.740954	-
1400	518.778246	9860.962709
1500	1.075325	517.702920
1600	-2.563355	3.638680
1700	-2.563738	0.000384
1701	-2.563738	-
