Cycle	Protocol	Energy	Improvement
0	Initial	21.10	0.00
1	FastRelax	16.92	4.19
1	Repack	77.46	-56.35
1	Minimize	22.08	-0.98
2	Repack	26.81	-5.70
2	Minimize	21.41	-0.31
3	Repack	25.54	-4.43
3	Minimize	21.27	-0.17
4	Repack	24.81	-3.71
4	Minimize	21.27	-0.17
5	Repack	24.95	-3.85
5	Minimize	21.27	-0.17
6	Repack	24.95	-3.85
6	Minimize	21.27	-0.17
7	Repack	24.96	-3.86
7	Minimize	21.28	-0.18
8	Repack	24.93	-3.83
8	Minimize	21.33	-0.23
9	Repack	24.86	-3.76
9	Minimize	21.33	-0.23
10	Repack	24.89	-3.79
10	Minimize	21.28	-0.18
11	Repack	24.94	-3.84
11	Minimize	21.27	-0.17
12	Repack	24.96	-3.86
12	Minimize	21.29	-0.18
13	Repack	25.88	-4.78
13	Minimize	21.28	-0.18
14	Repack	25.02	-3.91
14	Minimize	21.27	-0.17
15	Repack	24.98	-3.88
15	Minimize	21.27	-0.17
16	Repack	24.96	-3.86
16	Minimize	21.27	-0.17
17	Repack	24.96	-3.86
17	Minimize	21.27	-0.17
18	Repack	24.96	-3.86
18	Minimize	21.33	-0.22
19	Repack	24.86	-3.76
19	Minimize	21.33	-0.23
20	Repack	24.86	-3.76
20	Minimize	21.28	-0.18
21	Repack	24.92	-3.82
21	Minimize	21.29	-0.18
22	Repack	24.92	-3.82
22	Minimize	21.32	-0.22
23	Repack	24.85	-3.75
23	Minimize	21.28	-0.18
24	Repack	24.94	-3.84
24	Minimize	21.33	-0.23
25	Repack	24.85	-3.75
25	Minimize	21.33	-0.23
